"Ano","Unidade da Federação","Qtde Contribuintes Empregados","Quantidade de Vínculos","Vl Remuneração (R$)","Número Médio Mensal Cont Emprg","Estatísticas Cont Empregado"
"1996","Rondônia","70308","76866","233763021,25","50075","Qtde Contribuintes Empregados"
"1996","Acre","27384","30142","105674804,27","21291","Qtde Contribuintes Empregados"
"1996","Amazonas","154924","176036","809650218,26","111825","Qtde Contribuintes Empregados"
"1996","Roraima","12184","13390","44587685,52","8210","Qtde Contribuintes Empregados"
"1996","Pará","290465","319896","1154186297,36","218728","Qtde Contribuintes Empregados"
"1996","Amapá","23945","26570","90867533,38","16578","Qtde Contribuintes Empregados"
"1996","Tocantins","39447","43721","91177560,35","26686","Qtde Contribuintes Empregados"
"1996","Maranhão","169907","186843","545639343,80","129756","Qtde Contribuintes Empregados"
"1996","Piauí","166661","182918","536321153,68","138545","Qtde Contribuintes Empregados"
"1996","Ceará","535340","607727","1711037730,56","405559","Qtde Contribuintes Empregados"
"1996","Rio Grande do Norte","206473","232992","602682203,46","157185","Qtde Contribuintes Empregados"
"1996","Paraíba","217981","244372","608066335,18","171447","Qtde Contribuintes Empregados"
"1996","Pernambuco","660438","764270","2496066138,37","493983","Qtde Contribuintes Empregados"
"1996","Alagoas","214118","246109","611482892,80","155182","Qtde Contribuintes Empregados"
"1996","Sergipe","124777","141477","399491584,28","94238","Qtde Contribuintes Empregados"
"1996","Bahia","788787","890078","3118807822,25","598513","Qtde Contribuintes Empregados"
"1996","Minas Gerais","2289390","2719861","8888905458,27","1666962","Qtde Contribuintes Empregados"
"1996","Espírito Santo","400733","463760","1631025062,23","293689","Qtde Contribuintes Empregados"
"1996","Rio de Janeiro","2433003","2888553","13566309449,00","1827517","Qtde Contribuintes Empregados"
"1996","São Paulo","7631146","9024655","52265942497,88","5797575","Qtde Contribuintes Empregados"
"1996","Paraná","1410575","1650521","6067720678,23","1049720","Qtde Contribuintes Empregados"
"1996","Santa Catarina","900610","1030663","4066844708,35","683640","Qtde Contribuintes Empregados"
"1996","Rio Grande do Sul","1607291","1876904","7644679296,59","1210424","Qtde Contribuintes Empregados"
"1996","Mato Grosso do Sul","210344","236758","687191200,77","152047","Qtde Contribuintes Empregados"
"1996","Mato Grosso","212288","238276","736223155,03","150826","Qtde Contribuintes Empregados"
